"ScanCategory","FilePath","FileSize","RefCount","RefBySkills","Status"
"scripts","scripts\normalize_cn_body_paragraphs.ps1","3078","0","","unreferenced"
"scripts","scripts\pad_to_gate.ps1","9700","0","","unreferenced"
"scripts","scripts\platform_validate.ps1","11299","4","CommonSkills\通用-多平台输出编排\SKILL.md; CommonSkills\通用-输出GoodNovel版\SKILL.md; CommonSkills\通用-输出My Fiction版\SKILL.md; CommonSkills\通用-输出WebNovel版\SKILL.md","referenced"
"scripts","scripts\pov_validate.py","5666","17","CommonSkills\通用-多平台输出编排\SKILL.md; CommonSkills\通用-输出B站版\SKILL.md; CommonSkills\通用-输出GoodNovel版\SKILL.md; CommonSkills\通用-输出My Fiction版\SKILL.md; CommonSkills\通用-输出WebNovel版\SKILL.md; CommonSkills\通用-输出七猫版\SKILL.md; CommonSkills\通用-输出今日头条版\SKILL.md; CommonSkills\通用-输出出版社版\SKILL.md; CommonSkills\通用-输出小红书版\SKILL.md; CommonSkills\通用-输出微信订阅号版\SKILL.md; CommonSkills\通用-输出新浪微博版\SKILL.md; CommonSkills\通用-输出番茄版\SKILL.md; CommonSkills\通用-输出百度百家号版\SKILL.md; CommonSkills\通用-输出知乎版\SKILL.md; CommonSkills\通用-输出纵横小说版\SKILL.md; CommonSkills\通用-输出豆瓣版\SKILL.md; CommonSkills\通用-输出起点中文网版\SKILL.md","referenced"
"scripts","scripts\prune_cn_body_sentences.ps1","6071","0","","unreferenced"
"scripts","scripts\reduce_pad_like_lines.ps1","11169","0","","unreferenced"
"scripts","scripts\reflow_cn_markdown_body.ps1","3297","0","","unreferenced"
"scripts","scripts\remove_evidence_ledger_blocks.ps1","1595","0","","unreferenced"
"scripts","scripts\remove_invisible_random_blocks.ps1","2841","0","","unreferenced"
"scripts","scripts\remove_private_use_chars.ps1","4149","0","","unreferenced"
"scripts","scripts\remove_random_blocks.ps1","1983","0","","unreferenced"
"scripts","scripts\rename-zhihu-titles.ps1","6480","0","","unreferenced"
"scripts","scripts\rephrase_cn_body.ps1","13017","19","CommonSkills\通用-多平台小说适配\SKILL.md; CommonSkills\通用-多平台输出编排\SKILL.md; CommonSkills\通用-提纯多平台母稿\SKILL.md; CommonSkills\通用-输出B站版\SKILL.md; CommonSkills\通用-输出GoodNovel版\SKILL.md; CommonSkills\通用-输出My Fiction版\SKILL.md; CommonSkills\通用-输出WebNovel版\SKILL.md; CommonSkills\通用-输出七猫版\SKILL.md; CommonSkills\通用-输出今日头条版\SKILL.md; CommonSkills\通用-输出出版社版\SKILL.md; CommonSkills\通用-输出小红书版\SKILL.md; CommonSkills\通用-输出微信订阅号版\SKILL.md; CommonSkills\通用-输出新浪微博版\SKILL.md; CommonSkills\通用-输出番茄版\SKILL.md; CommonSkills\通用-输出百度百家号版\SKILL.md; CommonSkills\通用-输出知乎版\SKILL.md; CommonSkills\通用-输出纵横小说版\SKILL.md; CommonSkills\通用-输出豆瓣版\SKILL.md; CommonSkills\通用-输出起点中文网版\SKILL.md","referenced"
"scripts","scripts\rephrase_en_body.ps1","10850","19","CommonSkills\通用-多平台小说适配\SKILL.md; CommonSkills\通用-多平台输出编排\SKILL.md; CommonSkills\通用-提纯多平台母稿\SKILL.md; CommonSkills\通用-输出B站版\SKILL.md; CommonSkills\通用-输出GoodNovel版\SKILL.md; CommonSkills\通用-输出My Fiction版\SKILL.md; CommonSkills\通用-输出WebNovel版\SKILL.md; CommonSkills\通用-输出七猫版\SKILL.md; CommonSkills\通用-输出今日头条版\SKILL.md; CommonSkills\通用-输出出版社版\SKILL.md; CommonSkills\通用-输出小红书版\SKILL.md; CommonSkills\通用-输出微信订阅号版\SKILL.md; CommonSkills\通用-输出新浪微博版\SKILL.md; CommonSkills\通用-输出番茄版\SKILL.md; CommonSkills\通用-输出百度百家号版\SKILL.md; CommonSkills\通用-输出知乎版\SKILL.md; CommonSkills\通用-输出纵横小说版\SKILL.md; CommonSkills\通用-输出豆瓣版\SKILL.md; CommonSkills\通用-输出起点中文网版\SKILL.md","referenced"
"scripts","scripts\replace_body_before_marker.ps1","5037","0","","unreferenced"
"scripts","scripts\run_pov_gate.ps1","2191","17","CommonSkills\通用-多平台输出编排\SKILL.md; CommonSkills\通用-输出B站版\SKILL.md; CommonSkills\通用-输出GoodNovel版\SKILL.md; CommonSkills\通用-输出My Fiction版\SKILL.md; CommonSkills\通用-输出WebNovel版\SKILL.md; CommonSkills\通用-输出七猫版\SKILL.md; CommonSkills\通用-输出今日头条版\SKILL.md; CommonSkills\通用-输出出版社版\SKILL.md; CommonSkills\通用-输出小红书版\SKILL.md; CommonSkills\通用-输出微信订阅号版\SKILL.md; CommonSkills\通用-输出新浪微博版\SKILL.md; CommonSkills\通用-输出番茄版\SKILL.md; CommonSkills\通用-输出百度百家号版\SKILL.md; CommonSkills\通用-输出知乎版\SKILL.md; CommonSkills\通用-输出纵横小说版\SKILL.md; CommonSkills\通用-输出豆瓣版\SKILL.md; CommonSkills\通用-输出起点中文网版\SKILL.md","referenced"
"scripts","scripts\run_quality_gate.ps1","2471","1","CommonSkills\通用-多平台输出编排\SKILL.md","referenced"
"scripts","scripts\run_similarity_from_platform_config.ps1","2213","1","CommonSkills\通用-多平台输出编排\SKILL.md","referenced"
"scripts","scripts\run_similarity_gate.ps1","2372","0","","unreferenced"
"scripts","scripts\scan_deadfile_extensions.ps1","9848","0","","unreferenced"
"scripts","scripts\scan_text_quality.ps1","14537","1","CommonSkills\通用-多平台输出编排\SKILL.md","referenced"
"scripts","scripts\slim_yizhi_review.ps1","2822","0","","unreferenced"
"scripts","scripts\summarize_platform_report.ps1","1127","0","","unreferenced"
"scripts","scripts\summarize_similarity_report.ps1","2648","0","","unreferenced"
"assets","CommonSkills\通用-设计故事面\assets\故事面模板.md","5306",,,"ok"
"assets","old都市悬疑\.github\skills\design-story-facet\assets\story-facet-template.md","4750",,,"ok"
"assets","仅用于参考\chinese-novelist-skill\assets\beginning-01.png","102699",,,"unreferenced"
"assets","仅用于参考\chinese-novelist-skill\assets\ending-01.png","93987",,,"unreferenced"
"assets","仅用于参考\chinese-novelist-skill\assets\ending-02.png","35768",,,"unreferenced"
"assets","仅用于参考\Novel-Control-Station-Skill\assets\codex-continue-novel.ps1","5909",,,"ok"
"broken_ref","SKILL.md",,,,"broken"
"broken_ref","SKILL.md",,,,"broken"
"broken_ref","SKILL.md",,,,"broken"
"broken_ref","SKILL.md",,,,"broken"
"broken_ref","SKILL.md",,,,"broken"
"broken_ref","SKILL.md",,,,"broken"
"broken_ref","SKILL.md",,,,"broken"
"broken_ref","SKILL.md",,,,"broken"
"broken_ref","SKILL.md",,,,"broken"
"broken_ref","SKILL.md",,,,"broken"
"broken_ref","SKILL.md",,,,"broken"
"broken_ref","SKILL.md",,,,"broken"
"broken_ref","SKILL.md",,,,"broken"
"broken_ref","SKILL.md",,,,"broken"
"broken_ref","SKILL.md",,,,"broken"
"broken_ref","SKILL.md",,,,"broken"
"broken_ref","SKILL.md",,,,"broken"
"broken_ref","SKILL.md",,,,"broken"
"broken_ref","SKILL.md",,,,"broken"
"broken_ref","SKILL.md",,,,"broken"
"broken_ref","SKILL.md",,,,"broken"
"broken_ref","SKILL.md",,,,"broken"
"broken_ref","SKILL.md",,,,"broken"
"broken_ref",".github\skills\create-genre-skill-skeletons\SKILL.md",,,,"broken"
"broken_ref",".github\skills\create-genre-skill-skeletons\SKILL.md",,,,"broken"
"broken_ref",".github\skills\create-genre-skill-skeletons\SKILL.md",,,,"broken"
"broken_ref",".github\skills\create-genre-skill-skeletons\SKILL.md",,,,"broken"
"broken_ref",".github\skills\create-genre-skill-skeletons\SKILL.md",,,,"broken"
"broken_ref",".github\skills\create-genre-skill-skeletons\SKILL.md",,,,"broken"
"broken_ref",".github\skills\create-genre-skill-skeletons\SKILL.md",,,,"broken"
"broken_ref",".github\skills\create-genre-skill-skeletons\SKILL.md",,,,"broken"
"broken_ref","AI科幻\.github\skills\AI科幻-分析竞对作品\SKILL.md",,,,"broken"
"broken_ref","AI科幻\.github\skills\AI科幻-分析竞对作品\SKILL.md",,,,"broken"
"broken_ref","AI科幻\.github\skills\AI科幻-创建小说正文\SKILL.md",,,,"broken"
"broken_ref","AI科幻\.github\skills\AI科幻-创建小说正文\SKILL.md",,,,"broken"
"broken_ref","AI科幻\.github\skills\AI科幻-去AI味重写\SKILL.md",,,,"broken"
"broken_ref","AI科幻\.github\skills\AI科幻-去AI味重写\SKILL.md",,,,"broken"
"broken_ref","AI科幻\.github\skills\AI科幻-去AI味重写\SKILL.md",,,,"broken"
"broken_ref","AI科幻\.github\skills\AI科幻-去AI味重写\SKILL.md",,,,"broken"
"broken_ref","AI科幻\.github\skills\AI科幻-去AI味重写\SKILL.md",,,,"broken"
"broken_ref","AI科幻\.github\skills\AI科幻-去AI味重写\SKILL.md",,,,"broken"
"broken_ref","AI科幻\.github\skills\AI科幻-去AI味重写\SKILL.md",,,,"broken"
"broken_ref","AI科幻\.github\skills\AI科幻-去AI味重写\SKILL.md",,,,"broken"
"broken_ref","AI科幻\.github\skills\AI科幻-去AI味重写\SKILL.md",,,,"broken"
"broken_ref","AI科幻\.github\skills\AI科幻-多平台小说适配\SKILL.md",,,,"broken"
"broken_ref","AI科幻\.github\skills\AI科幻-多平台输出编排\SKILL.md",,,,"broken"
"broken_ref","AI科幻\.github\skills\AI科幻-大纲审阅优化闭环\SKILL.md",,,,"broken"
"broken_ref","AI科幻\.github\skills\AI科幻-大纲审阅优化闭环\SKILL.md",,,,"broken"
"broken_ref","AI科幻\.github\skills\AI科幻-审阅人物传记\SKILL.md",,,,"broken"
"broken_ref","AI科幻\.github\skills\AI科幻-审阅人物传记\SKILL.md",,,,"broken"
